Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Singles,Fingers,Detached Cells,Clusters
-5,9,0.4,3014.5,3014.5,0,0,0,0
-5,9,0.4,2063.5,2063.5,0,0,0,0
-5,9,0.5,3172,3172,0,0,0,0
-5,9,0.5,2740.5,2740.5,0,0,0,0
-5,9,0.5,2852.5,2852.5,0,0,0,0
-5,9,0.5,2286,2286,0,0,0,0
-5,9,0.5,2079,2079,0,0,0,0
-5,9,0.5,1801,1801,0,0,0,0
-5,9,0.5,2413,2413,0,0,0,0
-5,9,0.5,2949,2949,0,0,0,0
-5,9,0.5,2283.5,2283.5,0,0,0,0
-5,9,0.5,2346,2346,0,0,0,0
-5,9,0.6,2271.5,2271.5,0,0,0,0
-5,9,0.6,2712,2712,0,1,0,0
-5,9,0.6,3236,3236,0,0,0,0
-5,9,0.6,2217.5,2217.5,0,0,0,0
-5,9,0.6,2583,2583,0,1,0,0
-5,9,0.6,1948,1948,0,0,0,0
-5,9,0.6,2574.5,2574.5,0,0,0,0
-5,9,0.6,2446,2446,0,1,0,0
-5,9,0.6,3306,3306,0,1,0,0
-5,9,0.6,1987.5,1987.5,0,0,0,0
-5,9,0.7,2715,2715,0,0,0,0
-5,9,0.7,2012,2012,0,0,0,0
-5,9,0.7,1951,1951,0,0,0,0
-5,9,0.7,1863.5,1863.5,0,0,0,0
-5,9,0.7,2571.5,2571.5,0,0,0,0
-5,9,0.7,1842,1842,0,0,0,0
-5,9,0.7,2583,2583,0,0,0,0
-5,9,0.7,2190,2190,0,0,0,0
-5,9,0.7,2610,2610,0,0,0,0
-5,9,0.7,2188,2188,0,0,0,0
-5,9,0.8,2151.5,2151.5,0,0,0,0
-5,9,0.8,2961,2961,0,1,0,0
-5,9,0.8,2590.5,2590.5,0,0,0,0
-5,9,0.8,1994,1994,0,0,0,0
-5,9,0.8,2346,2346,0,0,0,0
-5,9,0.8,3234,3234,0,0,0,0
-5,9,0.8,2846.5,2846.5,0,1,0,0
-5,9,0.8,2694.5,2694.5,0,0,0,0
-5,9,0.8,1490,1490,0,0,0,0
-5,9,0.8,2421,2421,0,0,0,0
-5,9,0.9,2853,2853,0,0,0,0
-5,9,0.9,2168,2168,0,1,0,0
-5,9,0.9,2340,2340,0,0,0,0
-5,9,0.9,2257,2257,0,0,0,0
-5,9,0.9,2243,2243,0,0,0,0
-5,9,0.9,3326,3326,0,0,0,0
-5,9,0.9,2097,2097,0,0,0,0
-5,9,0.9,1780,1780,0,0,0,0
-5,9,0.9,3151.5,3151.5,0,0,0,0
-5,9,0.9,2333,2333,0,0,0,0
-5,9,1,2633,2633,0,0,0,0
-5,9,1,2327,2327,0,0,0,0
-5,9,1,1971.5,1971.5,0,0,0,0
-5,9,1,2887,2887,0,0,0,0
-5,9,1,1969,1969,0,0,0,0
-5,9,1,2373,2373,0,0,0,0
-5,9,1,3251,3251,0,0,0,0
-5,9,1,2351,2351,0,0,0,0
-5,9,1,2263.5,2263.5,0,0,0,0
-5,9,1,2454,2454,0,0,0,0
-5,12,0,3323,3323,0,0,0,0
-5,12,0,2967.5,2967.5,0,0,0,0
-5,12,0,2685,2685,0,0,0,0
-5,12,0,3317,3317,0,0,0,0
-5,12,0,2774.5,2774.5,0,0,0,0
-5,12,0,3168,3168,0,2,0,0
-5,12,0,3746,3746,0,1,0,0
-5,12,0,1527,1527,0,0,0,0
-5,12,0,2857,2857,0,2,0,0
-5,12,0,2687.5,2687.5,0,0,0,0
-5,12,0.1,3350,3350,0,1,0,0
-5,12,0.1,2212,2212,0,0,0,0
-5,12,0.1,3206,3206,0,0,0,0
-5,12,0.1,2510,2510,0,0,0,0
-5,12,0.1,2395,2395,0,1,0,0
-5,12,0.1,1975.5,1975.5,0,0,0,0
-5,12,0.1,2393,2393,0,0,0,0
-5,12,0.1,1415,1415,0,0,0,0
-5,12,0.1,2275,2275,0,1,0,0
-5,12,0.1,3183.5,3183.5,0,2,0,0
-5,12,0.2,2915.5,2915.5,0,0,0,0
-5,12,0.2,1797,1797,0,0,0,0
-5,12,0.2,2554,2554,0,0,0,0
-5,12,0.2,2066,2066,0,0,0,0
-5,12,0.2,1747,1747,0,0,0,0
